Brand,Description,ABC,total_revenue,total_units,avg_price,rev_share,cum_share,Classification,end_stock
4261,Capt Morgan Spiced Rum,A,444810.74,20226,21.99304723209751,1.3422423811779705,1.3422423811779705,1,16769.0
3545,Ketel One Vodka,A,357759.17,11883,30.174105202973124,1.0795591856191566,2.421801566797127,1,16770.0
1233,Jack Daniels No 7 Black,A,344712.22000000003,9578,35.99,1.0401892521613676,3.4619908189584945,1,15047.0
8068,Absolut 80 Proof,A,288135.11,11189,25.776631016042778,0.8694645191062078,4.3314553380647025,1,15608.0
3405,Tito's Handmade Vodka,A,275162.97,9203,29.879714285714286,0.8303203291916972,5.1617756672564,1,12268.0
3858,Grey Goose Vodka,A,225014.22,9378,24.001350737797956,0.6789935477990117,5.840769215055412,1,10598.0
2589,Jameson Irish Whiskey,A,191669.51,4649,41.58488272921109,0.5783739383217565,6.419143153377168,1,7922.0
4227,Bacardi Superior Rum Trav,A,183659.91,10209,17.99,0.554204502628088,6.973347656005256,1,397.0
1376,Jim Beam,A,169922.38,7362,23.177941336230308,0.5127507036962011,7.486098359701457,1,13180.0
2585,Jameson Irish Whiskey,A,164426.6,6940,23.787694524495674,0.49616686663860166,7.982265226340059,1,10487.0
8680,Crown Royal,A,162059.53,4047,40.09793237971392,0.48902409469650565,8.471289321036565,1,6646.0
2757,Johnnie Walker Red Label,A,155678.09,5191,29.99,0.46976772687376755,8.941057047910332,1,11603.0
5364,Kahlua,A,149137.09,4691,31.79299251870324,0.4500298774340595,9.391086925344393,1,8944.0
3876,Smirnoff 80 Proof,A,144969.26,7674,18.97815931108719,0.43745320704263646,9.82854013238703,1,1525.0
3802,Three Olives Vodka,A,142887.85,7915,18.070573951434877,0.431172430830696,10.259712563217725,1,10206.0
3650,Patron Silver Tequila,A,140806.71,2829,49.772608695652174,0.4248924693595212,10.684605032577247,1,5485.0
2120,Canadian Club,A,138316.68,8732,15.873808499193114,0.41737865843758937,11.101983691014837,1,10510.0
3489,Tanqueray,A,137024.81,4119,33.61156731413262,0.4134803652781832,11.51546405629302,1,9608.0
8512,Baileys Irish Cream,A,128932.11,6489,19.88791183294663,0.3890601704821697,11.90452422677519,1,9966.0
3512,Pinnacle Vodka,A,126296.28,7472,16.901186059584035,0.3811063995467369,12.285630626321925,1,12056.0
3102,Smirnoff Traveler,A,119759.43,6657,17.99,0.3613810729743542,12.647011699296279,1,14208.0
5138,Fireball Cinnamon Whisky,A,117783.82,8418,13.9933426183844,0.3554195544402491,13.002431253736528,1,8788.0
8082,Baileys Irish Cream,A,112831.01,3099,37.24476735316552,0.34047416106255757,13.342905414799086,1,8352.0
2663,Dewars White Label,A,112120.16,2984,38.82739837398374,0.3383291296798613,13.681234544478947,1,6771.0
1232,Jack Daniels No 7 Black,A,111201.94,4806,23.218855721393034,0.33555834721349087,14.016792891692438,1,4920.0
8159,Jose Cuervo Especial,A,110831.36,4264,25.996849315068488,0.33444010042471745,14.351232992117156,1,7947.0
6570,Kendall Jackson Chard Vt RSV,A,109159.42,8274,13.511947565543071,0.3293949238474012,14.680627915964557,2,13016.0
11219,Josh Cellars Cab Svgn Sonoma,A,108554.52,7248,14.989302163293791,0.32756960277629904,15.008197518740856,2,7474.0
8112,Stolichnaya,A,96957.70999999999,3629,26.701465451784355,0.2925755514445607,15.300773070185416,1,8663.0
3180,New Amsterdam Vodka,A,95934.6,6340,15.284563843236409,0.2894882572784914,15.590261327463908,1,4830.0
6650,Simi Chard,A,93369.42,8458,11.177963726298435,0.2817476768434279,15.872009004307337,2,3360.0
2114,Black Velvet Canadian Whisky,A,91191.42,6858,13.340561797752809,0.27517543466643907,16.147184438973778,1,9058.0
1476,Jim Beam Traveler,A,88839.84999999999,4015,22.145712050078245,0.2680794348794135,16.415263873853192,1,
6579,J Lohr Riverstone Chard,A,86846.81,7919,11.020642750373693,0.26206532030254215,16.677329194155735,2,5112.0
1385,Makers Mark,A,84609.78,3122,27.10904761904762,0.25531495165369483,16.93264414580943,1,6595.0
4262,Capt Morgan Spiced Rum,A,83571.97,5503,15.281115311909263,0.2521832993792684,17.1848274451887,1,3645.0
3893,Zhenka 80 Proof,A,82317.6,8240,9.99,0.24839816465954873,17.433225609848247,1,5599.0
3423,Beefeater,A,82265.51999999999,3048,26.99,0.24824101021851214,17.681466620066757,1,6814.0
3857,Grey Goose Vodka,A,82120.35,1465,56.9368085106383,0.24780295126679802,17.929269571333556,1,4679.0
3348,Bombay Sapphire Gin,A,79231.88,2212,36.21875816993464,0.2390868243793017,18.16835639571286,1,5603.0
3826,Skyy Vodka,A,78986.29,3371,23.76136752136752,0.23834574221389915,18.406702137926757,1,7472.0
3913,Svedka Vodka,A,78859.65,4335,18.29551816958277,0.23796359861918207,18.64466573654594,1,8329.0
