Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
Smirnoff 80 Proof,8111,A,28544,0.77,4305,6.6,7.619962802231866,1835,2431,663.01
Yukon Jack,1892,A,23121,0.72,4007,5.8,7.678691275167785,1455,1941,577.01
Capt Morgan Spiced Rum,4261,A,20226,16.17,791,25.6,7.343519338647771,1553,1960,2557.56
Smirnoff Raspberry Vodka,3606,A,19200,0.74,3602,5.3,7.69620253164557,1203,1608,533.07
Dr McGillicuddy's Mentholmnt,5111,A,18411,0.72,3576,5.1,7.5495207667731625,1323,1704,514.9
Skyy Vodka,3837,A,14057,0.72,3124,4.5,7.455844155844156,867,1154,449.91
Smirnoff Blueberry Vodka,4135,A,12477,0.78,2828,4.4,7.694620253164557,767,1030,441.18
Smirnoff Green Apple Vodka,4157,A,12102,0.72,2899,4.2,7.652615144418423,709,963,417.46
Ketel One Vodka,3545,A,11883,21.89,521,22.8,7.364685425229212,1024,1264,2280.87
Absolut 80 Proof,8068,A,11189,18.24,554,20.2,7.385106672102188,786,1012,2020.33
Rumpleminze,5491,A,11027,1.46,1943,5.7,7.771241830065359,687,922,567.44
Smirnoff Vanilla Vodka,3609,A,10355,0.74,2645,3.9,7.715604801477378,651,870,391.48
Bacardi Superior Rum Trav,4227,A,10209,14.17,600,17.0,7.581945190757657,754,966,1700.95
Jack Daniels No 7 Black,1233,A,9578,26.27,427,22.4,7.442588092345079,694,889,2243.27
Grey Goose Vodka,3858,A,9378,17.77,514,18.2,7.62077660110943,769,965,1825.63
Tito's Handmade Vodka,3405,A,9203,23.19,445,20.7,7.557792806640024,780,971,2066.0
Finlandia Vodka,8910,A,9104,0.77,2431,3.7,7.722371967654986,580,773,374.44
Sambuca Romana Liqueur,4798,A,9059,1.54,1715,5.3,7.679162072767365,607,798,528.22
Smirnoff Orange Vodka,3608,A,9019,0.72,2503,3.6,7.7271825396825395,547,738,360.38
Canadian Club,2120,A,8732,12.21,598,14.6,7.429733246584255,530,708,1460.26
Seagrams 7 Crown,8053,A,8503,0.75,2381,3.6,7.7820247933884295,531,712,357.13
Simi Chard,6650,A,8458,7.38,757,11.2,7.7772241992882565,849,1029,1117.32
Canadian Club,8064,A,8453,0.76,2358,3.6,7.674971687429219,540,718,358.45
Fireball Cinnamon Whisky,5138,A,8418,11.1,616,13.7,7.470233791275006,706,878,1367.04
Kendall Jackson Chard Vt RSV,6570,A,8274,6.77,782,10.6,7.081716738197425,699,860,1058.44
Jim Beam,8236,A,8257,1.07,1964,4.2,7.673175745118191,516,690,420.36
Zhenka 80 Proof,3893,A,8240,7.93,721,11.4,7.81579681830868,489,665,1143.18
J Lohr Riverstone Chard,6579,A,7919,5.8,826,9.6,7.726477789436866,736,904,958.44
Three Olives Vodka,3802,A,7915,13.43,543,14.6,7.192271793914505,546,702,1458.07
Smirnoff 80 Proof,3876,A,7674,13.95,524,14.6,7.647485493230174,607,768,1463.23
Apothic Winemakers Red Blend,14006,A,7511,5.44,831,9.0,7.458333333333333,615,768,903.99
Canadian Ltd,2127,A,7499,7.19,722,10.4,7.448989731699238,431,584,1038.44
Pinnacle Vodka,3512,A,7472,11.76,564,13.2,7.303917015017805,489,639,1325.68
Jim Beam,1376,A,7362,16.29,475,15.5,7.336332070707071,545,693,1548.72
Josh Cellars Cab Svgn Sonoma,11219,A,7248,8.44,655,11.1,7.708556149732621,697,850,1106.1
Jose Cuervo Especial,8961,A,7046,1.12,1774,4.0,7.490035169988277,481,626,397.28
Jameson Irish Whiskey,2585,A,6940,16.42,460,15.1,7.51268115942029,599,742,1509.67
Black Velvet Canadian Whisky,2114,A,6858,9.41,604,11.4,7.781366691560867,458,604,1136.08
